Castrol India,,₹116.551.50(1.30%),₹113.50,"₹11,226",
GNFC,,₹771.051.55(0.20%),₹715.90,"₹11,126",
Aster DM Healthcare,,₹238.153.65(1.56%),₹223.35,"₹11,106",
Lakshmi Machine,,"₹10,596.25389.15(3.81%)","₹10,365.70","₹11,073",
SJVN,,₹28.800.40(1.41%),₹28.15,"₹11,062",
Alok Inds,,₹19.50-0.10(0.51%),₹22.25,"₹11,048",
ITI,,₹117.30-0.60(0.51%),₹117.10,"₹11,029",
Balaji Amines,,"₹3,576.45-62.35(1.71%)","₹3,358.85","₹10,883",
Galaxy Surfactants,,"₹3,115.65-4.25(0.14%)","₹3,034.55","₹10,758",
Glenmark Pharma,,₹378.250.45(0.12%),₹380.05,"₹10,723",
Zydus Wellness,,"₹1,593.20-18.30(1.14%)","₹1,653.35","₹10,520",
Aether Inds,,₹824.602.80(0.34%),₹839.15,"₹10,445",
Shree Renuka Sugars,,₹48.250.70(1.47%),₹48.65,"₹10,355",
Punjab & Sind Bank,,₹15.200.00(0.00%),₹14.95,"₹10,132",
CESC,,₹79.65-0.25(0.31%),₹75.45,"₹10,001",
EID-Parry India,,₹551.45-0.55(0.10%),₹554.20,"₹9,833",
Mahindra CIE Auto,,₹272.206.70(2.52%),₹257.60,"₹9,766",
KIMS,,"₹1,235.0027.00(2.24%)","₹1,215.85","₹9,730",
HFCL,,₹68.052.20(3.34%),₹66.25,"₹9,689",
Godrej Agrovet,,₹489.95-0.35(0.07%),₹504.20,"₹9,688",
V Guard Industries,,₹235.50-2.55(1.07%),₹224.30,"₹9,682",
Redington (India),,₹144.805.25(3.76%),₹123.85,"₹9,678",
Hindustan Copper,,₹104.150.00(0.00%),₹99.75,"₹9,646",
Blue Star,,₹990.95-19.40(1.92%),₹998.95,"₹9,621",
EIH,,₹156.052.35(1.53%),₹152.60,"₹9,543",
Brightcom Group,,₹40.45-2.10(4.94%),₹47.10,"₹9,504",
Tata Steel BSL,,₹85.350.00(0.00%),₹86.45,"₹9,453",
Eris Lifesciences,,₹694.75-5.70(0.81%),₹679.00,"₹9,232",
Birlasoft,,₹345.95-4.20(1.20%),₹329.30,"₹9,220",
Sundaram Clayton,,"₹4,694.153.30(0.07%)","₹4,553.90","₹9,213",
NLC India,,₹72.602.60(3.71%),₹66.05,"₹9,158",
Century Textiles,,₹844.35-3.20(0.38%),₹811.00,"₹9,058",
Akzo Nobel India,,"₹1,906.801.80(0.09%)","₹1,983.75","₹9,034",
Intellect Design,,₹611.20-9.10(1.47%),₹666.85,"₹9,007",
BSE,,₹666.45-1.35(0.20%),₹663.75,"₹8,978",
